PRV,NOW,,DEVELOPER,AIRCRAFT,,,CATEGORY,$,,ADDED,DAYS,
232,230,,Deimos Inc.,G39 Griffin / Jas-39 Gripen,0,120,Military (Modern),P,,18 Feb 2023,834,0.000
234,231,,Got Friends,Revolution Mini-500,0,120,Helicopter,P,,13 Feb 2023,839,0.000
235,232,,WombiiActual,Witch,0,120,Other,F,,14 Feb 2023,838,0.000
236,233,,WombiiActual,Ducky,0,120,Other,F,,14 Feb 2023,838,0.000
238,234,,Orangener,Flying Toilet,0,120,Other,F,,13 Feb 2023,839,0.000
233,235,,Red Wing,Farman F.60 Goliath,0,121,Vintage / Biplane,P,,11 Feb 2023,841,0.000
239,236,,Cowan Sim,McDonnell Douglas 500E,0,121,Helicopter,P,,11 Feb 2023,841,0.000
240,237,,Sal1800,Brown B-2 Racer,0,121,Vintage / Biplane,F,,11 Feb 2023,841,0.000
83,238,,Carenado,Piper Archer II,0,122,Piston GA,P,,1 Feb 2023,851,0.000
241,239,,Asobo,CubCrafters NX Cub,0,123,Piston GA,F,,25 Jan 2023,858,0.000
242,240,,Cowan Sim,Bell 206-B JetRanger,0,123,Helicopter,P,,28 Jan 2023,855,0.000
243,241,,Lionheart Creations,Pasped Skylark,0,123,Vintage / Biplane,P,,28 Jan 2023,855,0.000
244,242,,Asobo,Extra 330-LT,0,123,Ultralight / Sports,F,,24 Jan 2023,859,0.000
245,243,,Miltech Simulations,Bell Boeing V-22 Osprey,0,125,Helicopter,P,,15 Jan 2023,868,0.000
246,244,,LatinVFR,Airbus A318,0,125,Airliner,P,,12 Jan 2023,871,0.000
247,245,,Aerosoft,SeaRey Elite,0,125,Ultralight / Sports,P,,12 Jan 2023,871,0.000
248,246,,Microsoft / Mike Johnson,Savoia-Marchetti S.55,0,125,Seaplane,P,,15 Jan 2023,868,0.000
249,247,,Project Mega Pack,Airbus A330-300,0,125,Airliner,F,,15 Jan 2023,868,0.000
251,248,,Microsoft / iniBuilds,Grumman G-21A Goose,0,126,Vintage / Biplane,F,,4 Jan 2023,879,0.000
252,249,,Orbx ,PAC P-750 XSTOL,0,126,Turboprop,P,,3 Jan 2023,880,0.000
253,250,,V.G.P,PowerSTOL,0,126,Piston GA,P,,3 Jan 2023,880,0.000
254,251,,Microsoft / BlueMesh,Ryan NYP Spirit of St. Louis,0,126,Vintage / Biplane,F,,2 Jan 2023,881,0.000
84,252,,FlyInside ,Bell 206 JetRanger,0,128,Helicopter,P,,25 Dec 2022,889,0.000
255,253,,CJ Simulations,Eurofighter Typhoon,0,128,Military (Modern),P,,24 Dec 2022,890,0.000
256,254,,Aeroplane Heaven,de Havilland Canada DHC-1 Chipmunk,0,129,Piston GA,P,,16 Dec 2022,898,0.000
